time (seconds),x,y,z
1.61,-108,248,110
2.53,-116,236,114
3.43,-124,240,102
4.33,-116,240,105
5.23,-132,168,110
6.13,1264,716,350
7.03,1084,948,450
7.94,-1440,356,120
8.84,-328,68,93
9.74,-160,332,195
10.64,-1560,132,452
11.54,136,472,303
12.44,-312,372,416
13.34,-344,336,453
14.24,-364,292,394
15.14,-372,268,373
16.04,-392,252,380
16.96,1440,1912,120
17.86,1112,948,428
18.76,-856,316,62
19.66,-1932,-136,-49
20.56,32,244,170
21.46,-512,136,194
22.36,-700,116,134
23.26,-692,112,130
24.16,-656,124,152
25.06,-588,132,150
25.96,-752,76,94
26.86,-776,80,92
27.76,-776,84,135